time,event,impact,category,source,detail
2000-05-06T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2000 — anchor New Moon, Tritiya window 2000-05-06T03:42:05+05:30 -> 2000-05-07T00:42:05+05:30, selected IST date 2000-05-06"
2001-04-26T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2001 — anchor New Moon, Tritiya window 2001-04-25T19:40:35+05:30 -> 2001-04-26T18:40:35+05:30, selected IST date 2001-04-26"
2002-05-15T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2002 — anchor New Moon, Tritiya window 2002-05-14T18:00:03+05:30 -> 2002-05-15T18:00:03+05:30, selected IST date 2002-05-15"
2003-05-04T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2003 — anchor New Moon, Tritiya window 2003-05-01T17:59:48+05:30 -> 2003-05-05T01:14:48+05:30, selected IST date 2003-05-04"
2004-04-22T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2004 — anchor Solar Eclipse, Tritiya window 2004-04-19T19:06:12+05:30 -> 2004-04-23T00:51:12+05:30, selected IST date 2004-04-22"
2005-05-11T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2005 — anchor New Moon, Tritiya window 2005-05-08T14:30:25+05:30 -> 2005-05-11T16:45:25+05:30, selected IST date 2005-05-11"
2006-04-30T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2006 — anchor New Moon, Tritiya window 2006-04-29T20:58:55+05:30 -> 2006-04-30T19:43:55+05:30, selected IST date 2006-04-30"
2007-04-19T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2007 — anchor New Moon, Tritiya window 2007-04-19T09:51:03+05:30 -> 2007-04-20T06:36:03+05:30, selected IST date 2007-04-19"
2008-05-07T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2008 — anchor New Moon, Tritiya window 2008-05-05T18:03:13+05:30 -> 2008-05-08T06:48:13+05:30, selected IST date 2008-05-07"
2009-04-27T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2009 — anchor New Moon, Tritiya window 2009-04-27T03:52:33+05:30 -> 2009-04-28T01:07:33+05:30, selected IST date 2009-04-27"
2010-04-17T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2010 — anchor New Moon, Tritiya window 2010-04-14T18:13:53+05:30 -> 2010-04-17T17:58:53+05:30, selected IST date 2010-04-17"
2011-05-06T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2011 — anchor New Moon, Tritiya window 2011-05-05T15:20:40+05:30 -> 2011-05-06T16:20:40+05:30, selected IST date 2011-05-06"
2012-04-24T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2012 — anchor New Moon, Tritiya window 2012-04-21T13:03:24+05:30 -> 2012-04-24T20:48:24+05:30, selected IST date 2012-04-24"
2013-05-12T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2013 — anchor Solar Eclipse, Tritiya window 2013-05-10T06:13:23+05:30 -> 2013-05-13T12:58:23+05:30, selected IST date 2013-05-12"
2014-05-01T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2014 — anchor Solar Eclipse, Tritiya window 2014-05-01T11:29:21+05:30 -> 2014-05-02T12:14:21+05:30, selected IST date 2014-05-01"
2015-04-21T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2015 — anchor New Moon, Tritiya window 2015-04-20T19:11:54+05:30 -> 2015-04-21T17:11:54+05:30, selected IST date 2015-04-21"
2016-05-09T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2016 — anchor New Moon, Tritiya window 2016-05-07T01:14:33+05:30 -> 2016-05-09T14:59:33+05:30, selected IST date 2016-05-09"
2017-04-28T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2017 — anchor New Moon, Tritiya window 2017-04-28T10:31:09+05:30 -> 2017-04-29T07:01:09+05:30, selected IST date 2017-04-28"
2018-04-18T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2018 — anchor New Moon, Tritiya window 2018-04-16T07:42:07+05:30 -> 2018-04-19T01:42:07+05:30, selected IST date 2018-04-18"
2019-05-07T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2019 — anchor New Moon, Tritiya window 2019-05-07T03:30:28+05:30 -> 2019-05-08T02:30:28+05:30, selected IST date 2019-05-07"
2020-04-26T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2020 — anchor New Moon, Tritiya window 2020-04-23T08:10:50+05:30 -> 2020-04-26T13:25:50+05:30, selected IST date 2020-04-26"
2021-05-14T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2021 — anchor New Moon, Tritiya window 2021-05-14T05:44:49+05:30 -> 2021-05-15T08:14:49+05:30, selected IST date 2021-05-14"
2022-05-03T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2022 — anchor Solar Eclipse, Tritiya window 2022-05-01T02:13:06+05:30 -> 2022-05-04T07:43:06+05:30, selected IST date 2022-05-03"
2023-04-22T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2023 — anchor Solar Eclipse, Tritiya window 2023-04-22T07:57:32+05:30 -> 2023-04-23T07:57:32+05:30, selected IST date 2023-04-22"
2024-05-10T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2024 — anchor New Moon, Tritiya window 2024-05-08T09:06:58+05:30 -> 2024-05-11T02:51:58+05:30, selected IST date 2024-05-10"
2025-04-30T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2025 — anchor New Moon, Tritiya window 2025-04-29T17:46:13+05:30 -> 2025-04-30T14:16:13+05:30, selected IST date 2025-04-30"
2026-04-19T03:45:00+00:00,Akshaya Tritiya,high,astrology,swisseph_derived,"Akshaya Tritiya 2026 — anchor New Moon, Tritiya window 2026-04-19T10:51:49+05:30 -> 2026-04-20T07:36:49+05:30, selected IST date 2026-04-19"
