<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2026-04-23	18:55:00	4709.630	4709.630	4699.380	4700.950	928
2026-04-23	19:00:00	4701.090	4704.360	4693.410	4695.360	1081
2026-04-23	19:05:00	4695.510	4699.540	4695.510	4695.730	944
2026-04-23	19:10:00	4695.920	4697.240	4692.530	4696.040	882
2026-04-23	19:15:00	4696.120	4699.160	4695.310	4699.000	840
2026-04-23	19:20:00	4699.000	4701.970	4696.900	4701.380	778
2026-04-23	19:25:00	4701.370	4702.410	4697.750	4699.990	721
2026-04-23	19:30:00	4700.010	4701.090	4693.350	4694.120	846
2026-04-23	19:35:00	4693.720	4695.650	4689.320	4692.630	1008
2026-04-23	19:40:00	4692.700	4695.510	4691.190	4692.260	922
2026-04-23	19:45:00	4692.270	4697.360	4692.070	4696.640	851
2026-04-23	19:50:00	4696.680	4699.950	4693.520	4699.060	996
2026-04-23	19:55:00	4699.050	4699.760	4695.290	4695.930	1013
2026-04-23	20:00:00	4695.950	4697.310	4693.850	4697.210	742
2026-04-23	20:05:00	4697.140	4698.110	4694.970	4696.520	677
2026-04-23	20:10:00	4696.460	4697.020	4690.470	4690.570	554
2026-04-23	20:15:00	4690.550	4691.860	4686.400	4691.040	675
2026-04-23	20:20:00	4691.170	4692.440	4689.770	4692.250	496
2026-04-23	20:25:00	4692.280	4692.460	4688.790	4689.240	427
2026-04-23	20:30:00	4689.230	4691.060	4689.130	4689.930	368
2026-04-23	20:35:00	4689.820	4690.370	4688.010	4690.160	328
2026-04-23	20:40:00	4690.120	4691.380	4688.990	4691.090	290
2026-04-23	20:45:00	4691.110	4691.950	4690.410	4690.590	389
2026-04-23	20:50:00	4690.570	4690.910	4688.300	4690.260	442
2026-04-23	20:55:00	4690.250	4694.130	4690.250	4694.100	404
2026-04-23	22:00:00	4699.920	4699.920	4694.760	4695.310	380
2026-04-23	22:05:00	4695.200	4699.150	4694.870	4697.250	399
2026-04-23	22:10:00	4697.260	4699.120	4695.130	4697.170	342
2026-04-23	22:15:00	4697.140	4697.180	4693.160	4693.790	241
2026-04-23	22:20:00	4693.760	4695.660	4692.080	4694.130	392
2026-04-23	22:25:00	4694.010	4694.900	4692.670	4692.670	305
2026-04-23	22:30:00	4692.710	4695.290	4692.690	4693.410	346
2026-04-23	22:35:00	4693.390	4696.630	4691.790	4691.790	414
2026-04-23	22:40:00	4691.820	4693.680	4690.740	4693.500	419
