Date,Time,Event,Impact,Currency,Category,Source,Actual,Forecast,Previous,Surprise,Unit,Revised
2004-06-14,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-06-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-06-16,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2004-06-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-07-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-07-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-07-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-07-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-07-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-07-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-07-21,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2004-07-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2004-07-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-08-02,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-08-04,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-08-06,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-08-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-08-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-08-16,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-08-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-09-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-09-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-09-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-09-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-09-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-09-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-09-15,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2004-09-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-10-01,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-10-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-10-06,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-10-11,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-10-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-10-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-10-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2004-10-29,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-11-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-11-03,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-11-05,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-11-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-11-15,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-11-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-11-17,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2004-11-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2004-12-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2004-12-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2004-12-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2004-12-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2004-12-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2004-12-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2004-12-15,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2004-12-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-01-03,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-01-05,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-01-07,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-01-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-01-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-01-17,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-01-19,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-01-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2005-01-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-02-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-02-02,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-02-04,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-02-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-02-14,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-02-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-02-28,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-03-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-03-02,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-03-04,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-03-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-03-14,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-03-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-03-16,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-03-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-04-01,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-04-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-04-06,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-04-11,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-04-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-04-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
