year,anchor_event,anchor_time_utc,anchor_time_ist,tritiya_start_ist,tritiya_end_ist,selected_date_ist,overlap_minutes_ist,event_time_utc
2000,New Moon,2000-05-04T04:12:05+00:00,2000-05-04T09:42:05+05:30,2000-05-06T03:42:05+05:30,2000-05-07T00:42:05+05:30,2000-05-06,720,2000-05-06T03:45:00+00:00
2001,New Moon,2001-04-23T15:25:35+00:00,2001-04-23T20:55:35+05:30,2001-04-25T19:40:35+05:30,2001-04-26T18:40:35+05:30,2001-04-26,720,2001-04-26T03:45:00+00:00
2002,New Moon,2002-05-12T10:45:03+00:00,2002-05-12T16:15:03+05:30,2002-05-14T18:00:03+05:30,2002-05-15T18:00:03+05:30,2002-05-15,720,2002-05-15T03:45:00+00:00
2003,New Moon,2003-05-01T12:14:48+00:00,2003-05-01T17:44:48+05:30,2003-05-01T17:59:48+05:30,2003-05-05T01:14:48+05:30,2003-05-04,720,2003-05-04T03:45:00+00:00
2004,Solar Eclipse,2004-04-19T13:21:12+00:00,2004-04-19T18:51:12+05:30,2004-04-19T19:06:12+05:30,2004-04-23T00:51:12+05:30,2004-04-22,720,2004-04-22T03:45:00+00:00
2005,New Moon,2005-05-08T08:45:25+00:00,2005-05-08T14:15:25+05:30,2005-05-08T14:30:25+05:30,2005-05-11T16:45:25+05:30,2005-05-11,645,2005-05-11T03:45:00+00:00
2006,New Moon,2006-04-27T19:43:55+00:00,2006-04-28T01:13:55+05:30,2006-04-29T20:58:55+05:30,2006-04-30T19:43:55+05:30,2006-04-30,720,2006-04-30T03:45:00+00:00
2007,New Moon,2007-04-17T11:36:03+00:00,2007-04-17T17:06:03+05:30,2007-04-19T09:51:03+05:30,2007-04-20T06:36:03+05:30,2007-04-19,495,2007-04-19T03:45:00+00:00
2008,New Moon,2008-05-05T12:18:13+00:00,2008-05-05T17:48:13+05:30,2008-05-05T18:03:13+05:30,2008-05-08T06:48:13+05:30,2008-05-07,465,2008-05-07T03:45:00+00:00
2009,New Moon,2009-04-25T03:22:33+00:00,2009-04-25T08:52:33+05:30,2009-04-27T03:52:33+05:30,2009-04-28T01:07:33+05:30,2009-04-27,720,2009-04-27T03:45:00+00:00
2010,New Moon,2010-04-14T12:28:53+00:00,2010-04-14T17:58:53+05:30,2010-04-14T18:13:53+05:30,2010-04-17T17:58:53+05:30,2010-04-17,705,2010-04-17T03:45:00+00:00
2011,New Moon,2011-05-03T06:50:40+00:00,2011-05-03T12:20:40+05:30,2011-05-05T15:20:40+05:30,2011-05-06T16:20:40+05:30,2011-05-06,615,2011-05-06T03:45:00+00:00
2012,New Moon,2012-04-21T07:18:24+00:00,2012-04-21T12:48:24+05:30,2012-04-21T13:03:24+05:30,2012-04-24T20:48:24+05:30,2012-04-24,720,2012-04-24T03:45:00+00:00
2013,Solar Eclipse,2013-05-10T00:28:23+00:00,2013-05-10T05:58:23+05:30,2013-05-10T06:13:23+05:30,2013-05-13T12:58:23+05:30,2013-05-12,450,2013-05-12T03:45:00+00:00
2014,Solar Eclipse,2014-04-29T06:14:21+00:00,2014-04-29T11:44:21+05:30,2014-05-01T11:29:21+05:30,2014-05-02T12:14:21+05:30,2014-05-01,390,2014-05-01T03:45:00+00:00
2015,New Moon,2015-04-18T18:56:54+00:00,2015-04-19T00:26:54+05:30,2015-04-20T19:11:54+05:30,2015-04-21T17:11:54+05:30,2015-04-21,675,2015-04-21T03:45:00+00:00
2016,New Moon,2016-05-06T19:29:33+00:00,2016-05-07T00:59:33+05:30,2016-05-07T01:14:33+05:30,2016-05-09T14:59:33+05:30,2016-05-09,540,2016-05-09T03:45:00+00:00
2017,New Moon,2017-04-26T12:16:09+00:00,2017-04-26T17:46:09+05:30,2017-04-28T10:31:09+05:30,2017-04-29T07:01:09+05:30,2017-04-28,450,2017-04-28T03:45:00+00:00
2018,New Moon,2018-04-16T01:57:07+00:00,2018-04-16T07:27:07+05:30,2018-04-16T07:42:07+05:30,2018-04-19T01:42:07+05:30,2018-04-18,720,2018-04-18T03:45:00+00:00
2019,New Moon,2019-05-04T22:45:28+00:00,2019-05-05T04:15:28+05:30,2019-05-07T03:30:28+05:30,2019-05-08T02:30:28+05:30,2019-05-07,720,2019-05-07T03:45:00+00:00
2020,New Moon,2020-04-23T02:25:50+00:00,2020-04-23T07:55:50+05:30,2020-04-23T08:10:50+05:30,2020-04-26T13:25:50+05:30,2020-04-26,450,2020-04-26T03:45:00+00:00
2021,New Moon,2021-05-11T18:59:49+00:00,2021-05-12T00:29:49+05:30,2021-05-14T05:44:49+05:30,2021-05-15T08:14:49+05:30,2021-05-14,720,2021-05-14T03:45:00+00:00
2022,Solar Eclipse,2022-04-30T20:28:06+00:00,2022-05-01T01:58:06+05:30,2022-05-01T02:13:06+05:30,2022-05-04T07:43:06+05:30,2022-05-03,720,2022-05-03T03:45:00+00:00
2023,Solar Eclipse,2023-04-20T04:12:32+00:00,2023-04-20T09:42:32+05:30,2023-04-22T07:57:32+05:30,2023-04-23T07:57:32+05:30,2023-04-22,600,2023-04-22T03:45:00+00:00
2024,New Moon,2024-05-08T03:21:58+00:00,2024-05-08T08:51:58+05:30,2024-05-08T09:06:58+05:30,2024-05-11T02:51:58+05:30,2024-05-10,720,2024-05-10T03:45:00+00:00
2025,New Moon,2025-04-27T19:31:13+00:00,2025-04-28T01:01:13+05:30,2025-04-29T17:46:13+05:30,2025-04-30T14:16:13+05:30,2025-04-30,495,2025-04-30T03:45:00+00:00
2026,New Moon,2026-04-17T11:51:49+00:00,2026-04-17T17:21:49+05:30,2026-04-19T10:51:49+05:30,2026-04-20T07:36:49+05:30,2026-04-19,420,2026-04-19T03:45:00+00:00
