recorded_at_utc,symbol,requested_timeframe,applied_timeframe,lookback_years,source_mode,signal,gann_mindset_bias,gann_time_phase,gann_recommended_signal,gann_angle_proximity,gann_nearest_key_angle,gann_degree,gann_cycle_degree,gann_cycle_quadrant,gann_cycle_description,nakshatra,nakshatra_pada,news_previous_event,news_next_event
2026-04-06T01:47:43.897497+00:00,XAUUSD,1d,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:48:26.381891+00:00,XAUUSD,1d,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:48:27.066906+00:00,XAUUSD,1month,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:48:29.606314+00:00,XAUUSD,1w,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:52:00.861212+00:00,XAUUSD,1month,1month,2,historical_first,STRONG BUY,BUY_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,225,259.2226,267.16,3,DISTRIBUTION,Purva Ashadha,2,US Core PCE Price Index MoM,US Non-Farm Payrolls (NFP)
2026-04-06T02:52:03.253800+00:00,XAUUSD,1d,1d,2,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:52:03.560565+00:00,XAUUSD,1w,1d,2,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:52:19.168455+00:00,XAUUSD,1month,1month,2,historical_first,STRONG BUY,BUY_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,225,259.2226,267.16,3,DISTRIBUTION,Purva Ashadha,2,US Core PCE Price Index MoM,US Non-Farm Payrolls (NFP)
2026-04-06T02:52:22.213996+00:00,XAUUSD,1w,1d,2,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T02:52:22.747965+00:00,XAUUSD,1d,1d,2,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T03:58:20.784673+00:00,XAUUSD,1d,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T03:58:47.563155+00:00,XAUUSD,1w,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T03:58:48.064283+00:00,XAUUSD,1month,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T11:25:58.465098+00:00,XAUUSD,1d,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T11:25:59.256896+00:00,XAUUSD,1w,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T11:25:59.465992+00:00,XAUUSD,1month,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
2026-04-06T11:32:55.057220+00:00,XAUUSD,1d,1d,25,historical_first,STRONG BUY,SELL_CONTINUATION,NEUTRAL (mixed),WAIT,NONE,45,63.3654,157.67,2,MARKUP,Mrigashira,4,US Core PCE Price Index MoM,US Consumer Price Index (CPI) YoY
