year,rows,mean_flow_imbalance,iceberg_rate,buy_aggressive_rate,sell_aggressive_rate
2000,264,0.0,0.0,0.0,0.0
2001,313,0.0,0.0,0.0,0.0
2002,313,0.0,0.0,0.0,0.0
2003,312,0.043870737179487175,0.016025641025641024,0.32371794871794873,0.26282051282051283
2004,279,0.06363863799283154,0.07885304659498207,0.5125448028673835,0.4336917562724014
2005,252,0.05699464285714286,0.051587301587301584,0.5,0.4166666666666667
2006,251,0.08027394422310759,0.06374501992031872,0.4900398406374502,0.41434262948207173
2007,257,0.0924074319066148,0.054474708171206226,0.5175097276264592,0.41245136186770426
2008,258,0.019161162790697676,0.06976744186046512,0.4728682170542636,0.4496124031007752
2009,257,0.0744155252918288,0.06614785992217899,0.5252918287937743,0.38132295719844356
2010,256,0.1323321875,0.07421875,0.5546875,0.390625
2011,256,0.11308738281250001,0.05078125,0.52734375,0.41015625
2012,257,0.04383536964980545,0.06614785992217899,0.4591439688715953,0.42023346303501946
2013,258,-0.014336550387596899,0.05426356589147287,0.4496124031007752,0.4844961240310077
2014,258,-0.04391317829457364,0.04263565891472868,0.40310077519379844,0.4844961240310077
2015,258,-0.09629143410852713,0.046511627906976744,0.3875968992248062,0.5426356589147286
2016,258,0.0036010465116279107,0.05813953488372093,0.46511627906976744,0.4806201550387597
2017,257,0.07992591439688716,0.07392996108949416,0.5408560311284046,0.4046692607003891
2018,258,-0.03894104651162791,0.07751937984496124,0.4263565891472868,0.47674418604651164
2019,258,0.040059341085271316,0.08139534883720931,0.49224806201550386,0.44573643410852715
2020,259,0.1071542471042471,0.0694980694980695,0.5328185328185329,0.38223938223938225
2021,258,0.018202519379844965,0.07364341085271318,0.4496124031007752,0.46124031007751937
2022,258,0.008277713178294574,0.06589147286821706,0.46511627906976744,0.43410852713178294
2023,257,-0.03532599221789883,0.07782101167315175,0.44357976653696496,0.4669260700389105
2024,259,0.08139096525096524,0.08494208494208494,0.5135135135135135,0.4092664092664093
2025,236,0.12240779661016948,0.09322033898305085,0.5296610169491526,0.3898305084745763
2026,74,-0.01776689189189189,0.02702702702702703,0.44594594594594594,0.5
